,Report_Date,Mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,96.17973797077404,42.49384098295474,False,1,0.08047957918903842,3.344232398291501
1,2020-01-23,0,96.17973797077404,42.49384098295474,False,2,0.08658011791031425,3.344232398291501
2,2020-01-24,0,96.17973797077404,42.49384098295474,False,3,0.09314258432498089,3.344232398291501
3,2020-01-25,0,96.17973797077404,42.49384098295474,False,4,0.10020187540586831,3.344232398291501
4,2020-01-26,0,96.17973797077404,42.49384098295474,False,5,0.10779551191350291,3.344232398291501
5,2020-01-27,0,96.17973797077404,42.49384098295474,False,6,0.11596383369493025,3.344232398291501
6,2020-01-28,0,96.17973797077404,42.49384098295474,False,7,0.12475020920810587,3.344232398291501
7,2020-01-29,0,96.17973797077404,42.49384098295474,False,8,0.13420126025872098,3.344232398291501
8,2020-01-30,0,96.17973797077404,42.49384098295474,False,9,0.14436710299686198,3.344232398291501
9,2020-01-31,0,96.17973797077404,42.49384098295474,False,10,0.1553016062838238,3.344232398291501
10,2020-02-01,0,96.17973797077404,42.49384098295474,False,11,0.16706266860455535,3.344232398291501
11,2020-02-02,0,96.17973797077404,42.49384098295474,False,12,0.1797125147683945,3.344232398291501
12,2020-02-03,0,96.17973797077404,42.49384098295474,False,13,0.19331801370966947,3.344232398291501
13,2020-02-04,0,96.17973797077404,42.49384098295474,False,14,0.20795101877002514,3.344232398291501
14,2020-02-05,0,96.17973797077404,42.49384098295474,False,15,0.2236887319155109,3.344232398291501
15,2020-02-06,0,96.17973797077404,42.49384098295474,False,16,0.2406140934129419,3.344232398291501
16,2020-02-07,0,96.17973797077404,42.49384098295474,False,17,0.2588161985610963,3.344232398291501
17,2020-02-08,0,96.17973797077404,42.49384098295474,False,18,0.27839074314203127,3.344232398291501
18,2020-02-09,0,96.17973797077404,42.49384098295474,False,19,0.2994404993251245,3.344232398291501
19,2020-02-10,0,96.17973797077404,42.49384098295474,False,20,0.3220758238200555,3.344232398291501
20,2020-02-11,0,96.17973797077404,42.49384098295474,False,21,0.3464152001332994,3.344232398291501
21,2020-02-12,0,96.17973797077404,42.49384098295474,False,22,0.37258581683395287,3.344232398291501
22,2020-02-13,0,96.17973797077404,42.49384098295474,False,23,0.40072418377668234,3.344232398291501
23,2020-02-14,0,96.17973797077404,42.49384098295474,False,24,0.43097678825971475,3.344232398291501
24,2020-02-15,0,96.17973797077404,42.49384098295474,False,25,0.46350079311108755,3.344232398291501
25,2020-02-16,0,96.17973797077404,42.49384098295474,False,26,0.49846477869335176,3.344232398291501
26,2020-02-17,0,96.17973797077404,42.49384098295474,False,27,0.5360495307915345,3.344232398291501
27,2020-02-18,0,96.17973797077404,42.49384098295474,False,28,0.5764488762967389,3.344232398291501
28,2020-02-19,0,96.17973797077404,42.49384098295474,False,29,0.6198705685129129,3.344232398291501
29,2020-02-20,0,96.17973797077404,42.49384098295474,False,30,0.6665372237908805,3.344232398291501
30,2020-02-21,0,96.17973797077404,42.49384098295474,False,31,0.7166873110246675,3.344232398291501
31,2020-02-22,0,96.17973797077404,42.49384098295474,False,32,0.7705761953224356,3.344232398291501
32,2020-02-23,0,96.17973797077404,42.49384098295474,False,33,0.8284772368789258,3.344232398291501
33,2020-02-24,0,96.17973797077404,42.49384098295474,False,34,0.890682945717945,3.344232398291501
34,2020-02-25,0,96.17973797077404,42.49384098295474,False,35,0.9575061925306626,3.344232398291501
35,2020-02-26,0,96.17973797077404,42.49384098295474,False,36,1.0292814752955006,3.344232398291501
36,2020-02-27,0,96.17973797077404,42.49384098295474,False,37,1.1063662407139983,3.344232398291501
37,2020-02-28,0,96.17973797077404,42.49384098295474,False,38,1.1891422587185392,3.344232398291501
38,2020-02-29,0,96.17973797077404,42.49384098295474,False,39,1.2780170473850951,3.344232398291501
39,2020-03-01,0,96.17973797077404,42.49384098295474,False,40,1.3734253444985276,3.344232398291501
40,2020-03-02,0,96.17973797077404,42.49384098295474,False,41,1.4758306207494236,3.344232398291501
41,2020-03-03,0,96.17973797077404,42.49384098295474,False,42,1.5857266280686027,3.344232398291501
42,2020-03-04,0,96.17973797077404,42.49384098295474,False,43,1.7036389749058432,3.344232398291501
43,2020-03-05,0,96.17973797077404,42.49384098295474,False,44,1.8301267183098147,3.344232398291501
44,2020-03-06,0,96.17973797077404,42.49384098295474,False,45,1.9657839604431828,3.344232398291501
45,2020-03-07,0,96.17973797077404,42.49384098295474,False,46,2.1112414346470265,3.344232398291501
46,2020-03-08,0,96.17973797077404,42.49384098295474,False,47,2.267168063330001,3.344232398291501
47,2020-03-09,0,96.17973797077404,42.49384098295474,False,48,2.4342724667800106,3.344232398291501
48,2020-03-10,1,96.17973797077404,42.49384098295474,False,49,2.613304398462996,3.344232398291501
49,2020-03-11,1,96.17973797077404,42.49384098295474,False,50,2.80505607847327,3.344232398291501
50,2020-03-12,1,96.17973797077404,42.49384098295474,False,51,3.01036339252838,3.344232398291501
51,2020-03-13,1,96.17973797077404,42.49384098295474,False,52,3.230106919263693,3.344232398291501
52,2020-03-14,1,96.17973797077404,42.49384098295474,False,53,3.465212743595445,3.344232398291501
53,2020-03-15,1,96.17973797077404,42.49384098295474,False,54,3.7166530086187723,3.344232398291501
54,2020-03-16,1,96.17973797077404,42.49384098295474,False,55,3.9854461529419094,3.344232398291501
55,2020-03-17,5,96.17973797077404,42.49384098295474,False,56,4.272656774605226,3.344232398291501
56,2020-03-18,6,96.17973797077404,42.49384098295474,False,57,4.579395056898592,3.344232398291501
57,2020-03-19,6,96.17973797077404,42.49384098295474,False,58,4.906815685609972,3.344232398291501
58,2020-03-20,6,96.17973797077404,42.49384098295474,False,59,5.256116181687715,3.344232398291501
59,2020-03-21,10,96.17973797077404,42.49384098295474,False,60,5.6285345681973515,3.344232398291501
60,2020-03-22,10,96.17973797077404,42.49384098295474,False,61,6.0253462860666,3.344232398291501
61,2020-03-23,10,96.17973797077404,42.49384098295474,False,62,6.447860269756769,3.344232398291501
62,2020-03-24,10,96.17973797077404,42.49384098295474,False,63,6.897414092044573,3.344232398291501
63,2020-03-25,10,96.17973797077404,42.49384098295474,False,64,7.375368086968477,3.344232398291501
64,2020-03-26,11,96.17973797077404,42.49384098295474,False,65,7.883098362160613,3.344232398291501
65,2020-03-27,11,96.17973797077404,42.49384098295474,False,66,8.421988616764786,3.344232398291501
66,2020-03-28,12,96.17973797077404,42.49384098295474,False,67,8.993420689479672,3.344232398291501
67,2020-03-29,12,96.17973797077404,42.49384098295474,False,68,9.598763773524519,3.344232398291501
68,2020-03-30,12,96.17973797077404,42.49384098295474,False,69,10.23936225205129,3.344232398291501
69,2020-03-31,12,96.17973797077404,42.49384098295474,False,70,10.91652212922893,3.344232398291501
70,2020-04-01,14,96.17973797077404,42.49384098295474,False,71,11.631496059325102,3.344232398291501
71,2020-04-02,14,96.17973797077404,42.49384098295474,False,72,12.385467008901326,3.344232398291501
72,2020-04-03,14,96.17973797077404,42.49384098295474,False,73,13.179530625826061,3.344232398291501
73,2020-04-04,14,96.17973797077404,42.49384098295474,False,74,14.014676433059298,3.344232398291501
74,2020-04-05,14,96.17973797077404,42.49384098295474,False,75,14.891768014627578,3.344232398291501
75,2020-04-06,15,96.17973797077404,42.49384098295474,False,76,15.811522415079033,3.344232398291501
76,2020-04-07,15,96.17973797077404,42.49384098295474,False,77,16.774489030756133,3.344232398291501
77,2020-04-08,16,96.17973797077404,42.49384098295474,False,78,17.781028329765615,3.344232398291501
78,2020-04-09,16,96.17973797077404,42.49384098295474,False,79,18.831290795408307,3.344232398291501
79,2020-04-10,16,96.17973797077404,42.49384098295474,False,80,19.925196542450884,3.344232398291501
80,2020-04-11,16,96.17973797077404,42.49384098295474,False,81,21.062416103973316,3.344232398291501
81,2020-04-12,16,96.17973797077404,42.49384098295474,False,82,22.24235292530787,3.344232398291501
82,2020-04-13,17,96.17973797077404,42.49384098295474,False,83,23.46412812734499,3.344232398291501
83,2020-04-14,30,96.17973797077404,42.49384098295474,False,84,24.72656811081048,3.344232398291501
84,2020-04-15,30,96.17973797077404,42.49384098295474,False,85,26.02819556289117,3.344232398291501
85,2020-04-16,31,96.17973797077404,42.49384098295474,False,86,27.36722439522849,3.344232398291501
86,2020-04-17,31,96.17973797077404,42.49384098295474,False,87,28.7415590860669,3.344232398291501
